Date,Open,High,Low,Close,Adj Close,Volume
2017-07-06,3.530000,3.590000,3.500000,3.550000,3.205279,6645100
2017-07-07,3.480000,3.500000,3.430000,3.460000,3.124018,5299600
2017-07-10,3.500000,3.700000,3.460000,3.690000,3.331683,5694400
2017-07-11,3.620000,3.710000,3.600000,3.700000,3.340713,5025300
2017-07-12,3.710000,3.780000,3.670000,3.740000,3.376828,4079700
2017-07-13,3.730000,3.740000,3.650000,3.660000,3.304597,4740200
2017-07-14,3.770000,3.820000,3.730000,3.740000,3.376828,4997100
2017-07-17,3.830000,3.850000,3.770000,3.810000,3.440031,5599200
2017-07-18,3.850000,3.870000,3.740000,3.780000,3.412944,4455200
2017-07-19,3.810000,3.860000,3.770000,3.810000,3.440031,3708400
2017-07-20,3.780000,3.800000,3.720000,3.760000,3.394886,2514800
2017-07-21,3.790000,3.850000,3.760000,3.780000,3.412944,2807200
2017-07-24,3.820000,3.840000,3.730000,3.750000,3.385858,3277800
2017-07-25,3.780000,3.820000,3.700000,3.730000,3.367800,4226900
2017-07-26,3.810000,3.970000,3.810000,3.920000,3.539349,8424800
2017-07-27,3.930000,3.970000,3.820000,3.850000,3.476147,6450200
2017-07-28,3.930000,4.050000,3.910000,4.040000,3.647697,5023400
2017-07-31,4.000000,4.050000,3.960000,3.990000,3.602552,6506000
2017-08-01,3.970000,4.070000,3.970000,4.020000,3.629639,4481600
2017-08-02,3.950000,4.020000,3.910000,3.950000,3.566436,3990100
2017-08-03,3.940000,4.000000,3.940000,3.980000,3.593523,3688800
2017-08-04,3.940000,4.010000,3.910000,3.990000,3.602552,3976800
2017-08-07,3.980000,4.000000,3.920000,3.950000,3.566436,2300000
2017-08-08,3.990000,4.050000,3.940000,4.010000,3.620610,3581300
2017-08-09,4.100000,4.220000,4.080000,4.120000,3.719929,5822400
2017-08-10,4.170000,4.180000,4.070000,4.070000,3.674784,5964100
2017-08-11,4.120000,4.160000,4.090000,4.140000,3.737986,3979200
2017-08-14,4.090000,4.130000,4.040000,4.110000,3.710899,3040200
2017-08-15,3.980000,4.020000,3.940000,3.960000,3.575465,3429400
2017-08-16,3.940000,4.050000,3.920000,4.000000,3.611581,4834700
2017-08-17,4.140000,4.230000,4.090000,4.140000,3.737986,7620100
2017-08-18,4.220000,4.370000,4.190000,4.320000,3.900508,11275900
2017-08-21,4.370000,4.500000,4.370000,4.430000,3.999826,5042400
2017-08-22,4.450000,4.460000,4.280000,4.280000,3.864392,5704800
2017-08-23,4.350000,4.370000,4.220000,4.260000,3.846334,5250300
2017-08-24,4.230000,4.230000,4.100000,4.120000,3.719929,4834300
2017-08-25,4.180000,4.200000,4.100000,4.150000,3.747015,3105800
2017-08-28,4.210000,4.370000,4.200000,4.360000,3.936623,5763800
2017-08-29,4.520000,4.560000,4.380000,4.430000,3.999826,5633000
2017-08-30,4.460000,4.480000,4.370000,4.400000,3.972739,2888500
2017-08-31,4.420000,4.530000,4.410000,4.460000,4.026913,4873200
2017-09-01,4.490000,4.490000,4.380000,4.450000,4.017884,2359000
2017-09-05,4.540000,4.680000,4.510000,4.670000,4.216521,5315500
2017-09-06,4.660000,4.690000,4.520000,4.560000,4.117202,5536500
2017-09-07,4.600000,4.700000,4.560000,4.680000,4.253534,5866500
2017-09-08,4.660000,4.660000,4.470000,4.520000,4.108113,6083900
2017-09-11,4.410000,4.450000,4.380000,4.390000,3.989959,4240400
2017-09-12,4.390000,4.460000,4.340000,4.440000,4.035404,3524000
2017-09-13,4.450000,4.450000,4.270000,4.280000,3.889984,4650300
2017-09-14,4.300000,4.470000,4.300000,4.420000,4.017227,4613800
2017-09-15,4.440000,4.460000,4.340000,4.350000,3.953605,10099100
2017-09-18,4.300000,4.310000,4.220000,4.270000,3.880895,4181300
2017-09-19,4.270000,4.390000,4.270000,4.360000,3.962693,3649900
2017-09-20,4.380000,4.500000,4.210000,4.250000,3.862717,5909500
2017-09-21,4.270000,4.350000,4.230000,4.270000,3.880895,4782000
2017-09-22,4.320000,4.360000,4.260000,4.300000,3.908161,3114500
2017-09-25,4.270000,4.450000,4.250000,4.410000,4.008137,3708000
2017-09-26,4.330000,4.360000,4.260000,4.330000,3.935427,3233500
2017-09-27,4.250000,4.310000,4.230000,4.280000,3.889984,3000900
2017-09-28,4.270000,4.350000,4.240000,4.310000,3.917250,2920500
2017-09-29,4.330000,4.370000,4.310000,4.310000,3.917250,2036500
2017-10-02,4.260000,4.280000,4.220000,4.240000,3.853629,2206500
